Name,Position,Duration,Period,Period position,Return 1 Direction,Serve 1 Direction,Opponent Player Handed,Ball 3 Direction,Rally Stroke,Shot Count,Ball 5 Direction,Scoreline,Stroke Type,Finish,Serve 2 Direction,Ball 5 Stroke,Ball 4 Situation,Return 2 Direction,Point Won By,Ball 4 Direction,Tagged By,Game Score,Next...,Ball 5 Situation,Return 2 Position,FE Stroke Type,Return 1 Position,Side,Player Serving,Return Type,Return Stroke,Player Final Shot,Set,Void,End,Rally Length,Tournament Level,Ball 4 Stroke,FE Rally Stroke,Ball 3 Stroke,Tagged Player Handed,Situation,Point Lost By,Serve,Ball 3 Situation,Player Returning,Opponent Player,Tagged Player,Record,Court Surface,Let,Opponent Approach,Player Approach,Tournament,Date,Description
Point (1),0,9933,20251024_NikolaiTingstadvsOpponent_Grenada,0,Cross Short,3,R,Centre FH,FH,3,,00-00,Groundstroke,Forced Error,,,Defensive,,Opponent Point Won,Net Middle,AH,0~0,point,,,Groundstroke,Deep,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,1,,near,4,National,FH,FH,FH,R,Defensive,Target Player Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (2),9933,23933,20251024_NikolaiTingstadvsOpponent_Grenada,9933,,Net 5,R,Centre Middle,FH,12,Deep Middle,00-15,Groundstroke,Unforced Error,5,FH,Neutral,Middle Short,Target Player Point Won,Centre Middle,AH,0~0,point,Attacking,Behind,,,Ad,Opponent Serving,Drive,FH,Opponent Final Shot,1,,near,9+,National,FH,,BH,R,Attacking,Opponent Point Lost,Second Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (3),33867,20833,20251024_NikolaiTingstadvsOpponent_Grenada,33867,,Long 1,R,Deep FH,FH,10,Deep Middle,15-15,Groundstroke,Forced Error,2,BH,Neutral,Middle Deep,Target Player Point Won,Centre Middle,AH,0~0,point,Neutral,On,Groundstroke,,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,1,,near,9+,National,FH,FH,FH,R,Attacking,Opponent Point Lost,Second Serve In,Defensive,Target Player Returning,Opponent,Target Player,Point,Hard,,,Player Approach,Opponent,10102025,
Point (4),54700,4567,20251024_NikolaiTingstadvsOpponent_Grenada,54700,,Wide,R,,,,,30-15,,Double Fault,Net 5,,,,Target Player Point Won,,AH,0~0,point,,,,,Ad,Opponent Serving,,,,1,,near,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (5),59267,6667,20251024_NikolaiTingstadvsOpponent_Grenada,59267,,Net 3,R,Net BH,FH,2,,40-15,Groundstroke,Unforced Error,2,,,Middle Centre,Target Player Point Won,,AH,0~0,game,,Behind,,,Deuce,Opponent Serving,Drive,FH,Opponent Final Shot,1,,near,4,National,,,FH,R,Attacking,Opponent Point Lost,Second Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (6),65933,5200,20251024_NikolaiTingstadvsOpponent_Grenada,65933,,Long 2,R,,,,,00-00,,Double Fault,Long 3,,,,Opponent Point Won,,AH,1~0,point,,,,Deep,Deuce,Target Player Serving,,BH,,1,,near,,National,,,,R,,Target Player Point Lost,Second Serve Out,,Opponent Returning,Opponent,Target Player,Point,Hard,Let,,,Opponent,10102025,
Point (7),71133,8900,20251024_NikolaiTingstadvsOpponent_Grenada,71133,Middle Short,6,R,Deep Middle,BH,3,,00-15,Groundstroke,Forced Error,,,Defensive,,Target Player Point Won,Net Middle,AH,1~0,point,,,Groundstroke,Deep,Ad,Target Player Serving,Drive,BH,Opponent Final Shot,1,,near,4,National,BH,FH,FH,R,Defensive,Opponent Point Lost,First Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (8),80033,7767,20251024_NikolaiTingstadvsOpponent_Grenada,80033,Long Middle,2,R,,,,,15-15,,Return Error,,,,,Target Player Point Won,,AH,1~0,point,,,,Deep,Deuce,Target Player Serving,Drive,BH,,1,,near,,National,,,,R,Defensive,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (9),87800,5300,20251024_NikolaiTingstadvsOpponent_Grenada,87800,Long Middle,5,R,,,,,30-15,,Return Error,,,,,Target Player Point Won,,AH,1~0,point,,,,Behind,Ad,Target Player Serving,Drive,BH,,1,,near,,National,,,,R,,Opponent Point Lost,First Serve In,,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (10),93100,14767,20251024_NikolaiTingstadvsOpponent_Grenada,93100,,Long 2,R,Centre BH,FH,5,Centre Middle,40-15,Slice,Forced Error,3,FH,Neutral,Middle Centre,Target Player Point Won,Deep Middle,AH,1~0,game,Neutral,Deep,Groundstroke,,Deuce,Target Player Serving,Drive,BH,Opponent Final Shot,1,,near,5 to 8,National,BH,FH,FH,R,Defensive,Opponent Point Lost,Second Serve In,Attacking,Opponent Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (11),107867,5067,20251024_NikolaiTingstadvsOpponent_Grenada,107867,,Wide,R,,,,,00-00,,Double Fault,Wide,,,,Target Player Point Won,,AH,2~0,point,,,,,Deuce,Opponent Serving,,,,1,,far,,National,,,,R,,Opponent Point Lost,Second Serve Out,,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (12),112933,26500,20251024_NikolaiTingstadvsOpponent_Grenada,112933,Middle Deep,5,R,Centre BH,FH,12,Deep BH,15-00,Groundstroke,Unforced Error,,FH,Neutral,,Target Player Point Won,Centre Middle,AH,2~0,point,Attacking,,,Deep,Ad,Opponent Serving,Block,BH,Opponent Final Shot,1,,far,9+,National,BH,,FH,R,Attacking,Opponent Point Lost,First Serve In,Attacking,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
Point (13),139433,15500,20251024_NikolaiTingstadvsOpponent_Grenada,139433,Middle Deep,2,R,Centre Middle,FH,7,Centre BH,30-00,Groundstroke,Forced Error,,BH,Neutral,,Opponent Point Won,Deep Middle,AH,2~0,point,Attacking,,Groundstroke,Deep,Deuce,Opponent Serving,Drive,FH,Target Player Final Shot,1,,far,5 to 8,National,BH,FH,BH,R,Attacking,Target Player Point Lost,First Serve In,Neutral,Target Player Returning,Opponent,Target Player,Point,Hard,,,,Opponent,10102025,
