 ,,,,,,,,January ,,,,,,,February,,,,,,,,,,March ,,,,,,,,,,April ,,,,,,,,,May,,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,November,,,,,,,,December,,,,,,,,,
Week Number Calendar ,,,,,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,36,,37,,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,1,
Term (Dates and Length),,,,,,,,SPRING TERM 2023 - 2nd January - 31st March       SPRING TERM 2023 - 2nd January - 31st March         SPRING TERM 2023 - 2nd January - 31st March ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUMMER TERM 2023 - 10th April - 18th August           SUMMER TERM 2023 - 10th April - 18th August           SUMMER TERM 2023 - 10th April - 18th August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTUMN TERM 2025 - 2nd September - 19th December                                                AUTUMN TERM 2025 - 2nd September - 19th December                                                        AUTUMN TERM 2025 - 2nd September - 19th December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pre Season, Coach Hols,..",,,,,,,,Pre Season?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Commencing/Weekend Dates ,,,,,,,,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend 
Date,,,,,,,,2-Jan,7th-8th,9-Jan,14th-15th,16-Jan,21st-22nd,23-Jan,28th-29th,30-Jan,4th-5th,6-Feb,11th-12th,13-Feb,18th-19th,20-Feb,25th-26th,27-Feb,4th-5th,6-Mar,11th-12th,13-Mar,18th-19th,20-Mar,25th-26th,27-Mar,1st-2nd,3-Apr,8th-9th,10-Apr,15th-16th,17-Apr,22nd-23rd,24-Apr,29th-30th,1-May,6th-7th,8-May,13th-14th ,15-May,20th-21st,22-May,27th-28th,29-May,3rd-4th,5-Jun,10th-11th,12-Jun,17th-18th,19-Jun,24th-25th,26-Jun,1st-2nd,3-Jul,8th-9th,10-Jul,15th-16th,17-Jul,22nd-23rd,24-Jul,29th-30th,31-Jul,5th-6th,7-Aug,12th-13th,14-Aug,19th-20th,21-Aug,26th-27th,28-Aug,2nd-3rd,4-Sep,9th-10th,1-Sep,6th-7th,18-Sep,8-Sep,13th-14th,15-Sep,20th-21st,22-Sep,27th-28th,29-Sep,4th-5th,6-Oct,11th-12th,13-Oct,18th-19th,20-Oct,25th-26th,27-Oct,1st-2nd,3-Nov,8th-9th,10-Nov,15th-16th,17-Nov,22nd-23rd,24-Nov,29th-30th,1-Dec,6th-7th,8-Dec,13th-14th,15-Dec,20th-21st,22-Dec,27th-28th,29-Dec,3rd-4th
,Entry Date / Workshop ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
